t, u_C, u_R, u_E, i
2.6699999999999999, 2.4352588030837596, 0.56474119691624036, 3, 0.56474119691624036
2.6800000000000002, 2.44087807188177, 0.55912192811822981, 3, 0.55912192811822981
2.6899999999999999, 2.446441428021032, 0.55355857197896774, 3, 0.55355857197896774
2.7000000000000002, 2.4519494278417957, 0.54805057215820385, 3, 0.54805057215820385
2.71, 2.4574026221486336, 0.54259737785136619, 3, 0.54259737785136619
2.7200000000000002, 2.4628015562655206, 0.53719844373447956, 3, 0.53719844373447956
2.73, 2.4681467700903665, 0.53185322990963346, 3, 0.53185322990963346
2.7400000000000002, 2.4734387981490098, 0.52656120185099042, 3, 0.52656120185099042
2.75, 2.4786781696486644, 0.5213218303513355, 3, 0.5213218303513355
2.7599999999999998, 2.4838654085308485, 0.51613459146915175, 3, 0.51613459146915175
2.77, 2.4890010335237713, 0.51099896647622822, 3, 0.51099896647622822
2.7799999999999998, 2.4940855581942136, 0.5059144418057866, 3, 0.5059144418057866
2.79, 2.4991194909988783, 0.50088050900112213, 3, 0.50088050900112213
2.7999999999999998, 2.5041033353352402, 0.49589666466475968, 3, 0.49589666466475968
2.8100000000000001, 2.5090375895918879, 0.49096241040811223, 3, 0.49096241040811223
2.8199999999999998, 2.5139227471983578, 0.48607725280164232, 3, 0.48607725280164232
2.8300000000000001, 2.5187592966744816, 0.48124070332551827, 3, 0.48124070332551827
2.8399999999999999, 2.5235477216792379, 0.4764522783207622, 3, 0.4764522783207622
2.8500000000000001, 2.5282885010591172, 0.47171149894088271, 3, 0.47171149894088271
2.8599999999999999, 2.5329821088960078, 0.467017891103992, 3, 0.467017891103992
2.8700000000000001, 2.5376290145546059, 0.46237098544539429, 3, 0.46237098544539429
2.8799999999999999, 2.5422296827293485, 0.45777031727065176, 3, 0.45777031727065176
2.8900000000000001, 2.5467845734908874, 0.45321542650911251, 3, 0.45321542650911251
2.8999999999999999, 2.5512941423320949, 0.44870585766790516, 3, 0.44870585766790516
2.9100000000000001, 2.5557588402136129, 0.44424115978638734, 3, 0.44424115978638734
2.9199999999999999, 2.5601791136089496, 0.43982088639105044, 3, 0.43982088639105044
2.9300000000000002, 2.5645554045491288, 0.43544459545087111, 3, 0.43544459545087111
2.9399999999999999, 2.5688881506668912, 0.43111184933310875, 3, 0.43111184933310875
2.9500000000000002, 2.5731777852404596, 0.42682221475954063, 3, 0.42682221475954063
2.96, 2.577424737236865, 0.42257526276313501, 3, 0.42257526276313501
2.9700000000000002, 2.5816294313548473, 0.41837056864515265, 3, 0.41837056864515265
2.98, 2.5857922880673216, 0.41420771193267847, 3, 0.41420771193267847
2.9900000000000002, 2.5899137236634284, 0.41008627633657146, 3, 0.41008627633657146
3, 2.593994150290162, 0.40600584970983811, 3, 0.40600584970983811
3.0099999999999998, 2.5980339759935847, 0.40196602400641501, 3, 0.40196602400641501
3.0199999999999996, 2.6020336047596344, 0.39796639524036537, 3, 0.39796639524036537
3.0300000000000002, 2.6059934365545212, 0.39400656344547913, 3, 0.39400656344547913
3.04, 2.609913867364722, 0.39008613263527769, 3, 0.39008613263527769
3.0499999999999998, 2.6137952892365872, 0.38620471076341267, 3, 0.38620471076341267
3.0599999999999996, 2.6176380903155376, 0.38236190968446238, 3, 0.38236190968446238
3.0700000000000003, 2.6214426548848841, 0.37855734511511618, 3, 0.37855734511511618
3.0800000000000001, 2.6252093634042524, 0.3747906365957473, 3, 0.3747906365957473
3.0899999999999999, 2.6289385925476356, 0.37106140745236449, 3, 0.37106140745236449
3.0999999999999996, 2.6326307152410542, 0.36736928475894587, 3, 0.36736928475894587
3.1100000000000003, 2.6362861006998553, 0.36371389930014486, 3, 0.36371389930014486
3.1200000000000001, 2.6399051144656296, 0.36009488553437019, 3, 0.36009488553437019
3.1299999999999999, 2.6434881184427708, 0.35651188155722902, 3, 0.35651188155722902
3.1399999999999997, 2.6470354709346626, 0.35296452906533771, 3, 0.35296452906533771
3.1500000000000004, 2.6505475266795093, 0.34945247332049079, 3, 0.34945247332049079
3.1600000000000001, 2.6540246368858127, 0.34597536311418753, 3, 0.34597536311418753
3.1699999999999999, 2.6574671492674904, 0.3425328507325095, 3, 0.3425328507325095
3.1799999999999997, 2.6608754080786503, 0.33912459192134969, 3, 0.33912459192134969
3.1900000000000004, 2.6642497541480137, 0.33575024585198648, 3, 0.33575024585198648
3.2000000000000002, 2.6675905249129981, 0.33240947508700158, 3, 0.33240947508700158
3.21, 2.670898054453466, 0.32910194554653416, 3, 0.32910194554653416
3.2199999999999998, 2.6741726735251259, 0.32582732647487406, 3, 0.32582732647487406
3.2300000000000004, 2.6774147095926151, 0.32258529040738471, 3, 0.32258529040738471
3.2400000000000002, 2.680624486862242, 0.31937551313775836, 3, 0.31937551313775836
3.25, 2.6838023263144071, 0.31619767368559298, 3, 0.31619767368559298
3.2599999999999998, 2.6869485457357047, 0.31305145426429504, 3, 0.31305145426429504
3.2699999999999996, 2.6900634597506992, 0.30993654024930078, 3, 0.30993654024930078
3.2800000000000002, 2.6931473798533876, 0.3068526201466123, 3, 0.3068526201466123
3.29, 2.6962006144383497, 0.3037993855616502, 3, 0.3037993855616502
3.2999999999999998, 2.6992234688315886, 0.30077653116841124, 3, 0.30077653116841124
3.3099999999999996, 2.702216245321063, 0.29778375467893714, 3, 0.29778375467893714
3.3200000000000003, 2.7051792431869153, 0.29482075681308451, 3, 0.29482075681308451
3.3300000000000001, 2.7081127587314016, 0.29188724126859827, 3, 0.29188724126859827
3.3399999999999999, 2.7110170853085207, 0.28898291469147908, 3, 0.28898291469147908
3.3499999999999996, 2.7138925133533509, 0.28610748664664892, 3, 0.28610748664664892
3.3600000000000003, 2.7167393304110932, 0.283260669588907, 3, 0.283260669588907
3.3700000000000001, 2.7195578211658247, 0.28044217883417533, 3, 0.28044217883417533
3.3799999999999999, 2.7223482674689703, 0.27765173253102987, 3, 0.27765173253102987
3.3899999999999997, 2.7251109483674854, 0.27488905163251465, 3, 0.27488905163251465
3.4000000000000004, 2.7278461401317626, 0.27215385986823737, 3, 0.27215385986823737
3.4100000000000001, 2.7305541162832569, 0.26944588371674288, 3, 0.26944588371674288
3.4199999999999999, 2.7332351476218411, 0.26676485237815906, 3, 0.26676485237815906
3.4299999999999997, 2.7358895022528822, 0.26411049774711776, 3, 0.26411049774711776
3.4400000000000004, 2.7385174456140562, 0.26148255438594376, 3, 0.26148255438594376
3.4500000000000002, 2.7411192405018885, 0.25888075949811151, 3, 0.25888075949811151
3.46, 2.7436951470980362, 0.25630485290196364, 3, 0.25630485290196364
3.4699999999999998, 2.7462454229953055, 0.25375457700469417, 3, 0.25375457700469417
3.4800000000000004, 2.748770323223412, 0.25122967677658775, 3, 0.25122967677658775
3.4900000000000002, 2.7512701002744819, 0.24872989972551798, 3, 0.24872989972551798
3.5, 2.7537450041283038, 0.24625499587169636, 3, 0.24625499587169636
3.5099999999999998, 2.756195282277325, 0.24380471772267515, 3, 0.24380471772267515
3.5199999999999996, 2.7586211797514029, 0.24137882024859744, 3, 0.24137882024859744
3.5300000000000002, 2.7610229391423058, 0.23897706085769399, 3, 0.23897706085769399
3.54, 2.7634008006279753, 0.23659919937202484, 3, 0.23659919937202484
3.5499999999999998, 2.7657550019965402, 0.23424499800345949, 3, 0.23424499800345949
3.5599999999999996, 2.7680857786701005, 0.23191422132989931, 3, 0.23191422132989931
3.5700000000000003, 2.7703933637282656, 0.22960663627173442, 3, 0.22960663627173442
3.5800000000000001, 2.7726779879314636, 0.22732201206853644, 3, 0.22732201206853644
3.5899999999999999, 2.7749398797440192, 0.22506012025598088, 3, 0.22506012025598088
3.5999999999999996, 2.7771792653569984, 0.22282073464300173, 3, 0.22282073464300173
3.6100000000000003, 2.7793963687108292, 0.22060363128917115, 3, 0.22060363128917115
3.6200000000000001, 2.7815914115176934, 0.21840858848230671, 3, 0.21840858848230671
3.6299999999999999, 2.7837646132837017, 0.2162353867162983, 3, 0.2162353867162983
3.6399999999999997, 2.7859161913308417, 0.21408380866915822, 3, 0.21408380866915822
3.6500000000000004, 2.7880463608187114, 0.21195363918128868, 3, 0.21195363918128868
3.6600000000000001, 2.7901553347660339, 0.20984466523396603, 3, 0.20984466523396603
3.6699999999999999, 2.7922433240719622, 0.20775667592803793, 3, 0.20775667592803793
3.6799999999999997, 2.7943105375371662, 0.20568946246283382, 3, 0.20568946246283382
3.6900000000000004, 2.7963571818847157, 0.2036428181152842, 3, 0.2036428181152842
3.7000000000000002, 2.7983834617807508, 0.20161653821924927, 3, 0.20161653821924927
3.71, 2.8003895798549494, 0.19961042014505057, 3, 0.19961042014505057
3.7199999999999998, 2.8023757367207911, 0.19762426327920893, 3, 0.19762426327920893
3.7300000000000004, 2.8043421309956176, 0.19565786900438248, 3, 0.19565786900438248
3.7400000000000002, 2.8062889593204945, 0.19371104067950545, 3, 0.19371104067950545
3.75, 2.8082164163798771, 0.19178358362012271, 3, 0.19178358362012271
3.7599999999999998, 2.8101246949210776, 0.18987530507892225, 3, 0.18987530507892225
3.7699999999999996, 2.8120139857735404, 0.1879860142264595, 3, 0.1879860142264595
3.7800000000000002, 2.8138844778679251, 0.18611552213207488, 3, 0.18611552213207488
