t, u_C, u_R, u_E, i
3.4299999999999997,0.26411049774711776,-0.26411049774711776,0,-0.26411049774711776
3.4400000000000004,0.26148255438594376,-0.26148255438594376,0,-0.26148255438594376
3.4500000000000002,0.25888075949811151,-0.25888075949811151,0,-0.25888075949811151
3.46,0.25630485290196364,-0.25630485290196364,0,-0.25630485290196364
3.4699999999999998,0.25375457700469417,-0.25375457700469417,0,-0.25375457700469417
3.4800000000000004,0.25122967677658775,-0.25122967677658775,0,-0.25122967677658775
3.4900000000000002,0.24872989972551798,-0.24872989972551798,0,-0.24872989972551798
3.5,0.24625499587169636,-0.24625499587169636,0,-0.24625499587169636
3.5099999999999998,0.24380471772267515,-0.24380471772267515,0,-0.24380471772267515
3.5199999999999996,0.24137882024859744,-0.24137882024859744,0,-0.24137882024859744
3.5300000000000002,0.23897706085769399,-0.23897706085769399,0,-0.23897706085769399
3.54,0.23659919937202484,-0.23659919937202484,0,-0.23659919937202484
3.5499999999999998,0.23424499800345949,-0.23424499800345949,0,-0.23424499800345949
3.5599999999999996,0.23191422132989931,-0.23191422132989931,0,-0.23191422132989931
3.5700000000000003,0.22960663627173442,-0.22960663627173442,0,-0.22960663627173442
3.5800000000000001,0.22732201206853644,-0.22732201206853644,0,-0.22732201206853644
3.5899999999999999,0.22506012025598088,-0.22506012025598088,0,-0.22506012025598088
3.5999999999999996,0.22282073464300173,-0.22282073464300173,0,-0.22282073464300173
3.6100000000000003,0.22060363128917115,-0.22060363128917115,0,-0.22060363128917115
3.6200000000000001,0.21840858848230671,-0.21840858848230671,0,-0.21840858848230671
3.6299999999999999,0.2162353867162983,-0.2162353867162983,0,-0.2162353867162983
3.6399999999999997,0.21408380866915822,-0.21408380866915822,0,-0.21408380866915822
3.6500000000000004,0.21195363918128868,-0.21195363918128868,0,-0.21195363918128868
3.6600000000000001,0.20984466523396603,-0.20984466523396603,0,-0.20984466523396603
3.6699999999999999,0.20775667592803793,-0.20775667592803793,0,-0.20775667592803793
3.6799999999999997,0.20568946246283382,-0.20568946246283382,0,-0.20568946246283382
3.6900000000000004,0.2036428181152842,-0.2036428181152842,0,-0.2036428181152842
3.7000000000000002,0.20161653821924927,-0.20161653821924927,0,-0.20161653821924927
3.71,0.19961042014505057,-0.19961042014505057,0,-0.19961042014505057
3.7199999999999998,0.19762426327920893,-0.19762426327920893,0,-0.19762426327920893
3.7300000000000004,0.19565786900438248,-0.19565786900438248,0,-0.19565786900438248
3.7400000000000002,0.19371104067950545,-0.19371104067950545,0,-0.19371104067950545
3.75,0.19178358362012271,-0.19178358362012271,0,-0.19178358362012271
3.7599999999999998,0.18987530507892225,-0.18987530507892225,0,-0.18987530507892225
3.7699999999999996,0.1879860142264595,-0.1879860142264595,0,-0.1879860142264595
3.7800000000000002,0.18611552213207488,-0.18611552213207488,0,-0.18611552213207488
3.79,0.18426364174500037,-0.18426364174500037,0,-0.18426364174500037
3.7999999999999998,0.1824301878756539,-0.1824301878756539,0,-0.1824301878756539
3.8099999999999996,0.18061497717712072,-0.18061497717712072,0,-0.18061497717712072
3.8200000000000003,0.17881782812681801,-0.17881782812681801,0,-0.17881782812681801
3.8300000000000001,0.1770385610083435,-0.1770385610083435,0,-0.1770385610083435
3.8399999999999999,0.17527699789350248,-0.17527699789350248,0,-0.17527699789350248
3.8499999999999996,0.17353296262451542,-0.17353296262451542,0,-0.17353296262451542
3.8600000000000003,0.17180628079640198,-0.17180628079640198,0,-0.17180628079640198
3.8700000000000001,0.17009677973954074,-0.17009677973954074,0,-0.17009677973954074
3.8799999999999999,0.16840428850240119,-0.16840428850240119,0,-0.16840428850240119
3.8899999999999997,0.16672863783444924,-0.16672863783444924,0,-0.16672863783444924
3.9000000000000004,0.16506966016922162,-0.16506966016922162,0,-0.16506966016922162
3.9100000000000001,0.16342718960756958,-0.16342718960756958,0,-0.16342718960756958
3.9199999999999999,0.16180106190106805,-0.16180106190106805,0,-0.16180106190106805
3.9299999999999997,0.16019111443559131,-0.16019111443559131,0,-0.16019111443559131
3.9400000000000004,0.15859718621505103,-0.15859718621505103,0,-0.15859718621505103
3.9500000000000002,0.15701911784529715,-0.15701911784529715,0,-0.15701911784529715
3.96,0.15545675151817751,-0.15545675151817751,0,-0.15545675151817751
3.9699999999999998,0.15390993099575739,-0.15390993099575739,0,-0.15390993099575739
3.9800000000000004,0.15237850159469546,-0.15237850159469546,0,-0.15237850159469546
3.9900000000000002,0.15086231017077559,-0.15086231017077559,0,-0.15086231017077559
4,0.14936120510359183,-0.14936120510359183,0,-0.14936120510359183
4.0099999999999998,0.14787503628138651,-0.14787503628138651,0,-0.14787503628138651
