Freq.	V(n001)/I(C)
2.69153480392691e+001	4.70000000000000e+002,-8.69583356523454e+003
2.75422870333816e+001	4.70000000000000e+002,-8.49789222718406e+003
2.81838293126445e+001	4.70000000000000e+002,-8.30445658407533e+003
2.88403150312660e+001	4.70000000000000e+002,-8.11542407376996e+003
2.95120922666638e+001	4.70000000000000e+002,-7.93069446872884e+003
3.01995172040201e+001	4.70000000000000e+002,-7.75016982287019e+003
3.09029543251359e+001	4.70000000000000e+002,-7.57375441963725e+003
3.16227766016838e+001	4.70000000000000e+002,-7.40135472124810e+003
3.23593656929628e+001	4.70000000000000e+002,-7.23287931910066e+003
3.31131121482591e+001	4.70000000000000e+002,-7.06823888530669e+003
3.38844156139202e+001	4.70000000000000e+002,-6.90734612532891e+003
3.46736850452531e+001	4.70000000000000e+002,-6.75011573169631e+003
3.54813389233575e+001	4.70000000000000e+002,-6.59646433877300e+003
3.63078054770101e+001	4.70000000000000e+002,-6.44631047855663e+003
3.71535229097172e+001	4.70000000000000e+002,-6.29957453748301e+003
3.80189396320561e+001	4.70000000000000e+002,-6.15617871421388e+003
3.89045144994280e+001	4.70000000000000e+002,-6.01604697838569e+003
3.98107170553497e+001	4.70000000000000e+002,-5.87910503029723e+003
4.07380277804112e+001	4.70000000000000e+002,-5.74528026151499e+003
4.16869383470335e+001	4.70000000000000e+002,-5.61450171637519e+003
4.26579518801592e+001	4.70000000000000e+002,-5.48670005436212e+003
4.36515832240165e+001	4.70000000000000e+002,-5.36180751334293e+003
4.46683592150962e+001	4.70000000000000e+002,-5.23975787363923e+003
4.57088189614874e+001	4.70000000000000e+002,-5.12048642291653e+003
4.67735141287197e+001	4.70000000000000e+002,-5.00392992187291e+003
4.78630092322638e+001	4.70000000000000e+002,-4.89002657070871e+003
4.89778819368445e+001	4.70000000000000e+002,-4.77871597635945e+003
5.01187233627271e+001	4.70000000000000e+002,-4.66993912047465e+003
5.12861383991364e+001	4.70000000000000e+002,-4.56363832812546e+003
5.24807460249772e+001	4.70000000000000e+002,-4.45975723722475e+003
5.37031796370252e+001	4.70000000000000e+002,-4.35824076864308e+003
5.49540873857624e+001	4.70000000000000e+002,-4.25903509700508e+003
5.62341325190348e+001	4.70000000000000e+002,-4.16208762215051e+003
5.75439937337156e+001	4.70000000000000e+002,-4.06734694124494e+003
5.88843655355588e+001	4.70000000000000e+002,-3.97476282152532e+003
6.02559586074357e+001	4.70000000000000e+002,-3.88428617366588e+003
6.16595001861481e+001	4.70000000000000e+002,-3.79586902575033e+003
6.30957344480192e+001	4.70000000000000e+002,-3.70946449783649e+003
6.45654229034654e+001	4.70000000000000e+002,-3.62502677709997e+003
6.60693448007595e+001	4.70000000000000e+002,-3.54251109354358e+003
6.76082975391980e+001	4.70000000000000e+002,-3.46187369625966e+003
6.91830970918935e+001	4.70000000000000e+002,-3.38307183023281e+003
7.07945784384136e+001	4.70000000000000e+002,-3.30606371367060e+003
7.24435960074988e+001	4.70000000000000e+002,-3.23080851585030e+003
7.41310241300916e+001	4.70000000000000e+002,-3.15726633546992e+003
7.58577575029182e+001	4.70000000000000e+002,-3.08539817949196e+003
7.76247116628690e+001	4.70000000000000e+002,-3.01516594246884e+003
7.94328234724279e+001	4.70000000000000e+002,-2.94653238633885e+003
8.12830516164097e+001	4.70000000000000e+002,-2.87946112068208e+003
8.31763771102669e+001	4.70000000000000e+002,-2.81391658342566e+003
8.51138038202374e+001	4.70000000000000e+002,-2.74986402198836e+003
8.70963589956078e+001	4.70000000000000e+002,-2.68726947485427e+003
8.91250938133743e+001	4.70000000000000e+002,-2.62609975356597e+003
9.12010839355907e+001	4.70000000000000e+002,-2.56632242512755e+003
9.33254300796988e+001	4.70000000000000e+002,-2.50790579480822e+003
9.54992586021433e+001	4.70000000000000e+002,-2.45081888933736e+003
9.77237220955808e+001	4.70000000000000e+002,-2.39503144048205e+003
9.99999999999997e+001	4.70000000000000e+002,-2.34051386899847e+003
1.02329299228075e+002	4.70000000000000e+002,-2.28723726894860e+003
1.04712854805090e+002	4.70000000000000e+002,-2.23517339237388e+003
1.07151930523760e+002	4.70000000000000e+002,-2.18429463431783e+003
1.09647819614318e+002	4.70000000000000e+002,-2.13457401818944e+003
1.12201845430196e+002	4.70000000000000e+002,-2.08598518145993e+003
1.14815362149688e+002	4.70000000000000e+002,-2.03850236168490e+003
1.17489755493953e+002	4.70000000000000e+002,-1.99210038284481e+003
1.20226443461741e+002	4.70000000000000e+002,-1.94675464199627e+003
1.23026877081238e+002	4.70000000000000e+002,-1.90244109622726e+003
1.25892541179416e+002	4.70000000000000e+002,-1.85913624990925e+003
1.28824955169313e+002	4.70000000000000e+002,-1.81681714223952e+003
1.31825673855640e+002	4.70000000000000e+002,-1.77546133506703e+003
1.34896288259165e+002	4.70000000000000e+002,-1.73504690099540e+003
1.38038426460288e+002	4.70000000000000e+002,-1.69555241175673e+003
1.41253754462275e+002	4.70000000000000e+002,-1.65695692685007e+003
1.44543977074592e+002	4.70000000000000e+002,-1.61923998243845e+003
